ID	Description	setSize	enrichmentScore	NES	pvalue	p.adjust	qvalues	rank	leading_edge	core_enrichment
mmu05150	mmu05150	Staphylococcus aureus infection	31	0.562705570814847	1.97130591979072	0.00186915887850467	0.0410848549946294	0.0317994233704562	3654	tags=61%, list=25%, signal=46%	12268/12628/12266/15894/11537/12260/14962/12262/14961/12259/16409/16414/14969/12273/14999/14130/12267/50909/14960
mmu00020	mmu00020	Citrate cycle (TCA cycle)	29	0.540853053287424	1.86115229812918	0.0018796992481203	0.0410848549946294	0.0317994233704562	2712	tags=45%, list=18%, signal=37%	104112/78920/17448/20916/170718/18597/235339/15926/68263/17449/66052/66945/56451
mmu04120	mmu04120	Ubiquitin mediated proteolysis	131	-0.340858530600216	-1.59420597763135	0.00238663484486874	0.045863309352518	0.0354979174555093	3600	tags=33%, list=24%, signal=25%	12211/68098/22210/67923/22209/17344/69010/75717/109161/140629/16396/22194/17999/20437/14897/72584/229615/67030/17222/217232/107986/235439/19823/59026/22346/13194/83814/22200/11796/22192/217342/68999/12234/73998/56228/22202/140630/67455/50873/50754/216080/69288
mmu04740	mmu04740	Olfactory transduction	331	-0.389789040786379	-2.06858776483458	0.00240384615384615	0.045863309352518	0.0354979174555093	3432	tags=41%, list=23%, signal=32%	258511/258315/384732/258308/258455/100038860/258746/258628/258955/258904/258770/258288/258334/259089/258825/18344/258679/258737/258656/18354/170639/207728/259033/258902/19735/258661/257890/18749/258484/258422/258675/258218/404346/258649/258597/259106/259016/258908/258495/258944/258351/235256/259078/258328/258677/257902/14680/258285/259002/233670/12315/258786/52589/258621/259031/258790/19092/258469/12323/258910/277562/258203/258098/259017/18345/193053/258941/259048/269862/258815/258846/258903/12322/258111/258777/18348/258292/258952/258461/258756/258610/258369/258951/258492/258206/259050/258494/258600/258101/259034/258279/258684/100043474/546989/19091/258625/259058/404317/110891/258474/258994/257898/258927/258396/100042690/404312/257910/258708/259099/80706/258672/258942/259030/258105/257985/259122/258608/258782/18330/258501/258814/258568/258359/258027/259008/258869/258475/433449/259088/110893/258645/258504/12314/258525
mmu05200	mmu05200	Pathways in cancer	442	0.259522552736797	1.36926927622251	0.00332778702163062	0.045863309352518	0.0354979174555093	3126	tags=27%, list=21%, signal=22%	18596/15519/56458/112407/12826/14268/212398/12827/93735/20848/13618/235320/12606/12983/18708/14710/16169/11651/69635/16973/23805/16449/17246/13197/18595/23871/17187/16190/224129/27015/17390/19016/21809/14362/18129/226519/17869/19015/14370/27057/12028/14870/16779/19395/12982/22341/12984/14688/12575/21803/16412/16000/16002/50493/54124/23797/19211/11514/14865/18035/20181/14172/12444/22642/22032/16777/16195/234779/232223/53978/14863/12371/14296/319757/12928/210044/112405/14678/15516/16451/12394/18706/73086/74769/58988/21802/76551/12443/56717/12445/64654/12048/20847/14707/50868/54485/14673/16773/14173/22339/22027/22031/15976/21813/16452/18798/26414/14699/16576/16168/11606/14677/22029/11515/14702/14366/12571/12387/11512
mmu05166	mmu05166	Human T-cell leukemia virus 1 infection	192	0.323194859413521	1.55837610972197	0.00343053173241852	0.045863309352518	0.0354979174555093	3922	tags=38%, list=26%, signal=28%	21937/19384/15894/18708/18186/22695/16169/11651/17701/26427/23871/11739/224129/21809/12500/17869/12028/53859/11740/12575/21803/23797/19211/11514/18035/12444/237336/17000/14961/21939/15007/70549/14964/12317/12237/210044/16451/18706/69957/12428/17120/74769/12257/12443/12445/12048/16414/18519/14969/21813/26414/14999/16168/15018/11515/11512/110557/15040/11652/208647/110196/12567/20850/26395/14960/20525/20807/16151/17127/20375/56310/26396
mmu04145	mmu04145	Phagosome	122	0.409609205949167	1.84731579066558	0.00347222222222222	0.045863309352518	0.0354979174555093	3765	tags=42%, list=25%, signal=31%	21828/22154/22143/11465/11461/12266/22142/69165/17533/69142/21825/22146/22151/17534/12721/16402/67951/16412/280408/13040/14961/11966/15007/14964/13039/12317/19349/235661/18125/226421/16409/70192/21827/16414/15239/14969/14999/14130/15018/110557/15040/53857/234663/16416/66335/66237/66290/50909/14960/11984/19345
mmu04062	mmu04062	Chemokine signaling pathway	140	0.363240906710888	1.66191176310595	0.00349040139616056	0.045863309352518	0.0354979174555093	4115	tags=41%, list=28%, signal=30%	20308/55985/20305/20848/18708/14710/11651/56744/57266/30955/224129/19395/14688/56484/12772/23797/11514/18035/20312/20309/18479/12928/210044/109689/14678/18706/74769/110355/20779/18829/20847/14707/216869/215449/14773/16452/18798/14699/17096/14677/11515/14702/11512/56838/12767/11652/320129/18762/26395/16151/19303/109880/26385/19229/14697/12540/12929
mmu05205	mmu05205	Proteoglycans in cancer	179	0.328727786674352	1.56461002389643	0.00351493848857645	0.045863309352518	0.0354979174555093	2426	tags=28%, list=16%, signal=24%	14268/93735/11465/11461/20848/18708/17698/20971/11651/12389/74055/17246/21825/66911/12842/17390/192176/14362/15200/17869/14370/15529/16402/12575/21803/16412/16000/16002/23797/26416/13345/21859/13867/12843/15170/234779/22160/13039/319757/286940/17022/18479/15530/18706/19094/74769/58988/12443/56717/20779/15442
mmu04152	mmu04152	AMPK signaling pathway	110	0.420729214181744	1.8583885552777	0.00352733686067019	0.045863309352518	0.0354979174555093	3329	tags=45%, list=22%, signal=36%	56458/11450/14104/18708/11651/270198/26427/19744/19017/19016/207565/93759/227154/56484/20787/12283/16000/16890/23797/26932/20249/21770/22241/22084/107476/18640/13685/78070/100705/20528/16846/18706/68365/12428/59032/74769/58988/12443/56717/18639/20869/68465/30049/15357/69008/56421/57915/16847/11652/208647
mmu05167	mmu05167	Kaposi sarcoma-associated herpesvirus infection	151	0.336874922339902	1.55930187137833	0.00352733686067019	0.045863309352518	0.0354979174555093	3942	tags=40%, list=26%, signal=30%	21937/20848/12266/15894/18708/14710/22695/11651/22187/30955/17164/56208/54123/17869/12028/14688/12575/56486/23797/18035/26416/16195/234779/12371/20963/15007/14964/16451/18706/19094/74769/12443/56717/20779/20847/14707/14173/22339/22031/15976/16452/26414/14699/17096/15018/14702/12571/12387/110557/15040/11652/12567/16439/93739/106759/26395/16151/26396/16391/18591
mmu05169	mmu05169	Epstein-Barr virus infection	167	0.339409144332778	1.59145605134795	0.00359712230215827	0.045863309352518	0.0354979174555093	3274	tags=33%, list=22%, signal=26%	22352/20848/246728/15894/18708/11651/14827/23996/17246/12495/13197/27015/54123/12500/17869/12028/53859/12575/266632/23797/18035/12444/26416/19181/14961/234779/21939/12371/20963/15007/14964/12317/20602/16451/18706/19094/12428/74769/20422/12443/12445/20847/14969/22031/15976/26414/14999/17096/15018/100038882/12571/110557/15040/26397/11652
