CTL_1	CTL_2	CTL_3	CTL_4	CTL_5	CTL_6	MOTSc_1	MOTSc_2	MOTSc_3	MOTSc_4	MOTSc_5	MOTSc_6
0610009B22Rik	3.02481565045605	2.2804162322241	3.57536418685613	3.07315160379941	2.80765123024316	2.89951555251972	2.91225434664923	3.14598085109165	2.40592232676359	2.98842733089852	1.18634990666788	1.78328930272372
0610010F05Rik	6.7419949818038	6.22249521497847	6.55615938044284	6.1926490331305	6.39072363786419	6.21970249038746	6.47343518015792	6.28203903693027	6.40336800599453	6.4462053724263	6.48393848376329	6.30283658796704
0610010K14Rik	5.13892867348347	5.31343031174546	5.11062393285218	5.50471357175121	5.12792992690196	5.58238010947541	5.23264846230767	4.77714457155003	4.98861454356918	4.95054905474301	4.82436203489637	4.89505404016641
0610012G03Rik	2.4407391848473	3.95644507777556	3.42349556171412	3.65754258839438	2.80765123024316	3.41350857312987	2.26127235178205	3.14598085109165	2.89057117327632	3.47333466660334	3.18158751061131	3.65470696206156
0610030E20Rik	5.68628716239973	5.68371661494247	5.38185437042947	5.55716964325376	6.02082428640408	5.70521227746406	6.02098279069505	5.55065029672584	5.75396216605481	6.09115658565876	5.46572525909773	5.71796545394192
0610037L13Rik	5.52585545175847	5.68371661494247	6.08532781796443	5.81585360502226	5.8313776718596	6.1778880081722	5.91057647320977	5.93118292429945	5.83640947410579	5.73104103139198	5.46572525909773	5.68626268512192
0610043K17Rik	-6.64385618977472	-0.0296820176184326	-6.64385618977472	0.758064101063587	-6.64385618977472	0.103714950057528	-6.64385618977472	-6.64385618977472	-6.64385618977472	0.673752543266745	-6.64385618977472	-6.64385618977472
1010001B22Rik	-6.64385618977472	1.54542902747446	0.264287618621737	1.75379253343526	-6.64385618977472	-6.64385618977472	0.461421101633868	2.63210600398374	-6.64385618977472	-0.317231805220245	-6.64385618977472	-6.64385618977472
1110002E22Rik	8.2390270968206	7.9944910183087	8.20064158363174	7.78849252527213	7.95248881922893	7.74850445368874	8.09841606549717	7.61039840226812	7.82280017014389	8.05705179087735	8.11668646192322	8.04593301216404
1110002J07Rik	-6.64385618977472	-0.0296820176184326	0.264287618621737	-0.23343051955962	2.32304839558188	1.67969876662146	1.45617263204688	1.82649541882627	0.0948421387169576	-0.317231805220245	0.192675411625683	1.20042094211013
1110004F10Rik	7.43816263647889	7.21300054301101	6.74421299043704	7.04423834078889	7.41617124945468	7.13472266661606	7.39350531090755	7.20622400741839	6.93936801043727	7.4461226437987	7.29902923198438	7.22764864288905
1110006O24Rik	-6.64385618977472	-0.0296820176184326	0.264287618621737	-0.23343051955962	-6.64385618977472	0.103714950057528	-0.528138895398746	-6.64385618977472	0.0948421387169576	-0.317231805220245	-6.64385618977472	0.206685185511951
1110008L16Rik	4.43874484006939	4.71095391786577	4.57475892434472	4.99788736786578	4.75365665445595	4.73462406277086	4.84372493057539	4.86731049220563	5.03590559974947	4.61946354473257	4.26820829467149	4.71823951931732
1110008P14Rik	4.02392907084832	3.95644507777556	3.42349556171412	3.3359002798705	3.16976333257493	3.89854850250364	3.35920217841598	3.91084433850928	3.25270885983741	3.25115872277766	3.64058540359059	3.51731798456191
1110012L19Rik	4.68656731159015	4.4797241691848	4.25298216889276	4.33518570778625	4.16896152273837	3.67631730119195	4.69938790672366	4.63035955548354	4.6054241973728	4.05786411483072	4.50256123687306	4.00238477860204
1110013H19Rik	0.44868910845083	-6.64385618977472	-6.64385618977472	-6.64385618977472	1.00543855709188	1.09698618105444	-6.64385618977472	-6.64385618977472	-6.64385618977472	0.673752543266745	-6.64385618977472	-6.64385618977472
1110019B22Rik	-6.64385618977472	1.54542902747446	-6.64385618977472	-0.23343051955962	-6.64385618977472	-6.64385618977472	-0.528138895398746	-0.161352921585953	-6.64385618977472	1.25569726311801	0.192675411625683	-6.64385618977472
1110019D14Rik	1.44339402989049	-0.0296820176184326	-6.64385618977472	0.758064101063587	1.58800362237971	0.103714950057528	-6.64385618977472	0.830557355095687	2.40592232676359	1.99024407933836	1.18634990666788	2.5185773934316
1110020A21Rik	-6.64385618977472	0.962935704467617	0.264287618621737	-0.23343051955962	0.0126070516809122	-6.64385618977472	-6.64385618977472	-6.64385618977472	0.0948421387169576	-6.64385618977472	1.18634990666788	0.206685185511951
1110032A03Rik	3.76107202452782	3.12709270367241	3.71275768176235	4.27381623883431	3.45897843411378	3.55088900428976	2.91225434664923	3.14598085109165	3.98906888625118	3.47333466660334	3.35133582474769	3.89553881880416
1110038F14Rik	5.52585545175847	6.38195320978731	6.20661697898465	6.20913491452048	6.407795128407	6.56611157803127	6.20598794204401	6.39244936605314	6.18999153904663	5.98683579714666	6.38962199180018	6.02724061624667
1110051M20Rik	5.19336129254193	5.16537089432859	5.38185437042947	4.95942542278011	4.90560626815372	5.87183198018679	5.15175060322116	5.3773579863512	5.43915403141376	5.02267608112325	5.26783388921339	5.28196307403635
1110059E24Rik	5.24581463054113	4.65652732036033	3.83819686673252	5.30446224551052	4.85671326504788	4.41283143388021	5.00594290940953	5.52317547943634	4.98861454356918	5.12452543496206	4.98780620794179	5.05254515834006
1110059G10Rik	4.02392907084832	3.76393275391174	3.83819686673252	2.75165199747866	4.16896152273837	2.67744533719307	3.45222371148451	4.40806421454764	4.16953424060447	4.12493893583423	2.1831767233666	4.19491732776284
1110065P20Rik	3.24695481892315	3.8633976268076	4.06044518082816	3.75058053734849	3.00003871398241	4.09107265360323	3.62200224882743	2.824460153953	3.78275777775071	3.36651937942042	3.5031975527663	3.00328469301759
1190002N15Rik	6.54675822389233	6.24110841616524	6.76015305546002	6.33464954636049	6.47412998651102	6.43024318762482	6.20598794204401	6.78833682570685	6.65126860778351	6.80436063475778	6.5377038433166	6.19432640761655
1190005I06Rik	0.44868910845083	2.2804162322241	2.83920521457291	0.758064101063587	1.00543855709188	1.09698618105444	1.04288674501296	-0.161352921585953	2.40592232676359	0.673752543266745	0.192675411625683	1.20042094211013
1190007I07Rik	1.44339402989049	2.2804162322241	1.84121979840931	2.92133896542902	3.00003871398241	3.26165591192262	1.04288674501296	1.41281316941909	2.66850296153325	0.673752543266745	2.76707994345365	1.78328930272372
1190028D05Rik	-6.64385618977472	1.54542902747446	0.264287618621737	-6.64385618977472	-6.64385618977472	-6.64385618977472	-6.64385618977472	-0.161352921585953	-6.64385618977472	1.25569726311801	-6.64385618977472	-6.64385618977472
1300002E11Rik	3.89847880942802	4.41562322288178	4.50079020515404	4.79442238168627	4.4583223084377	5.04485929774576	4.69938790672366	3.63094193992141	3.98906888625118	4.52328870601068	4.35062885905496	4.00238477860204
1300014J16Rik	-6.64385618977472	0.962935704467617	0.264287618621737	-6.64385618977472	1.00543855709188	1.67969876662146	-6.64385618977472	-0.161352921585953	0.0948421387169576	1.25569726311801	-6.64385618977472	-6.64385618977472
1300017J02Rik	0.44868910845083	1.54542902747446	0.264287618621737	2.33732836312428	2.00184090828498	1.09698618105444	0.461421101633868	1.82649541882627	1.67077039095249	1.66922350147147	2.76707994345365	2.19727859094081
1500011B03Rik	2.02658717685396	2.54295561650741	2.83920521457291	1.3401802957572	2.58560219631421	3.26165591192262	3.15296757679079	3.5241163127479	2.08467462097584	2.4746330446966	2.50446934320968	2.19727859094081
1500011K16Rik	3.43940992803476	3.41629905335887	3.42349556171412	3.8379803267443	3.58439998263845	3.55088900428976	3.69994308728554	4.28259510749937	3.08297304620168	3.36651937942042	3.64058540359059	3.65470696206156
1600002K03Rik	4.02392907084832	4.04385325203097	4.25298216889276	4.20971980142815	4.32088441068502	3.99801968299978	3.8442272644125	3.28333620167783	4.6054241973728	4.25040090933584	3.64058540359059	4.10186043789504
1600012H06Rik	4.34567978441579	4.86290192491064	4.89656593625231	5.07186537398885	4.80610497466792	4.94867412281817	4.84372493057539	4.63035955548354	5.03590559974947	4.87462542093899	4.88092597813284	5.05254515834006
1600014C10Rik	3.43940992803476	4.71095391786577	3.83819686673252	4.75004450872875	4.16896152273837	4.41283143388021	4.35849905792947	3.99325321080193	5.29109134076797	4.05786411483072	4.42859415273728	4.51668786760893
1600025M17Rik	0.44868910845083	-6.64385618977472	0.264287618621737	-6.64385618977472	-6.64385618977472	1.67969876662146	1.04288674501296	0.830557355095687	0.0948421387169576	1.99024407933836	1.18634990666788	-6.64385618977472
